"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-01","2004","01","01","","-2.7","","-15.2","","-9.0","","27.0","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-02","2004","01","02","","-8.1","","-14.8","","-11.5","","29.5","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-03","2004","01","03","","-0.5","","-8.2","","-4.4","","22.4","","0.0","","","","","","3.6","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-04","2004","01","04","","-0.5","","-12.4","","-6.5","","24.5","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-05","2004","01","05","","-8.5","","-12.1","","-10.3","","28.3","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-06","2004","01","06","","-9.3","","-18.9","","-14.1","","32.1","","0.0","","","","","","0.6","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-07","2004","01","07","","-13.2","","-25.2","","-19.2","","37.2","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-08","2004","01","08","","-22.8","","-27.7","","-25.3","","43.3","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-09","2004","01","09","","-20.4","","-28.8","","-24.6","","42.6","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-10","2004","01","10","","-20.8","","-28.4","","-24.6","","42.6","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-11","2004","01","11","","-18.5","","-26.6","","-22.6","","40.6","","0.0","","","","","","2.7","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-12","2004","01","12","","-11.4","","-24.4","","-17.9","","35.9","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-13","2004","01","13","","-11.6","","-28.2","","-19.9","","37.9","","0.0","","","","","","1.6","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-14","2004","01","14","","-25.3","","-31.0","","-28.2","","46.2","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-15","2004","01","15","","-25.0","","-32.6","","-28.8","","46.8","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-16","2004","01","16","","-5.8","","-25.0","","-15.4","","33.4","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-17","2004","01","17","","-5.5","","-16.7","","-11.1","","29.1","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-18","2004","01","18","","-7.1","","-16.1","","-11.6","","29.6","","0.0","","","","","","1.6","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-19","2004","01","19","","-6.9","","-11.1","","-9.0","","27.0","","0.0","","","","","","","M","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-20","2004","01","20","","-6.4","","-12.0","","-9.2","","27.2","","0.0","","","","","","0.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-21","2004","01","21","","-9.4","","-19.3","","-14.4","","32.4","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-22","2004","01","22","","-9.3","","-18.4","","-13.9","","31.9","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-23","2004","01","23","","-14.4","","-21.5","","-18.0","","36.0","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-24","2004","01","24","","-20.8","","-27.0","","-23.9","","41.9","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-25","2004","01","25","","-22.4","","-29.0","","-25.7","","43.7","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-26","2004","01","26","","-19.5","","-29.5","","-24.5","","42.5","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-27","2004","01","27","","-16.0","","-30.9","","-23.5","","41.5","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-28","2004","01","28","","-11.2","","-25.0","","-18.1","","36.1","","0.0","","","","","","0.2","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2004-01-29","2004","01","29","","-11.9","","-16.1","","-14.0","","32.0","","0.0","","","","","","0.0","","","","","","",""
