"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-01","2019","01","01","","1.0","","-11.4","","-5.2","","23.2","","0.0","","","","","","2.1","","","","27","","53",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-02","2019","01","02","","7.6","","0.0","","3.8","","14.2","","0.0","","","","","","0.7","","","","25","","89",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-03","2019","01","03","","10.1","","5.3","","7.7","","10.3","","0.0","","","","","","0.0","","","","22","","72",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-04","2019","01","04","","9.4","","3.6","","6.5","","11.5","","0.0","","","","","","0.7","","","","24","","83",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-05","2019","01","05","","5.7","","-5.2","","0.2","","17.8","","0.0","","","","","","0.0","","","","26","","55",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-06","2019","01","06","","8.5","","-4.2","","2.1","","15.9","","0.0","","","","","","0.0","","","","27","","73",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-07","2019","01","07","","0.8","","-12.6","","-5.9","","23.9","","0.0","","","","","","0.0","","","","26","","42",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-08","2019","01","08","","-2.6","","-13.6","","-8.1","","26.1","","0.0","","","","","","0.0","","","","13","","32",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-09","2019","01","09","","11.7","","-6.9","","2.4","","15.6","","0.0","","","","","","0.0","","","","16","","31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-10","2019","01","10","","11.2","","-9.0","","1.1","","16.9","","0.0","","","","","","0.0","","","","27","","63",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-11","2019","01","11","","9.4","","-9.2","","0.1","","17.9","","0.0","","","","","","0.0","","","","24","","33",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-12","2019","01","12","","15.8","","-3.4","","6.2","","11.8","","0.0","","","","","","0.0","","","","26","","43",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-13","2019","01","13","","9.4","","-6.3","","1.6","","16.4","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-14","2019","01","14","","11.7","","-6.9","","2.4","","15.6","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-15","2019","01","15","","2.0","","-11.1","","-4.5","","22.5","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-16","2019","01","16","","-5.3","","-11.1","","-8.2","","26.2","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-17","2019","01","17","","-7.3","","-14.2","","-10.7","","28.7","","0.0","","","","","","3.6","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-18","2019","01","18","","-8.8","","-19.2","","-14.0","","32.0","","0.0","","","","","","2.2","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-19","2019","01","19","","6.0","","-20.0","","-7.0","","25.0","","0.0","","","","","","1.6","","","","26","","61",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-20","2019","01","20","","2.9","","-5.0","","-1.1","","19.1","","0.0","","","","","","0.0","","","","26","","34",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-21","2019","01","21","","2.5","","-12.4","","-5.0","","23.0","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-22","2019","01","22","","3.3","","-12.0","","-4.4","","22.4","","0.0","","","","","","0.0","","","","26","","84",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-23","2019","01","23","","1.4","","-18.0","","-8.3","","26.3","","0.0","","","","","","1.5","","","","27","","52",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-24","2019","01","24","","0.6","","-23.5","","-11.4","","29.4","","0.0","","","","","","0.8","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-25","2019","01","25","","5.3","","-13.2","","-3.9","","21.9","","0.0","","","","","","0.0","","","","27","","51",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-26","2019","01","26","","10.4","","-1.4","","4.5","","13.5","","0.0","","","","","","0.7","","","","28","","63",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-27","2019","01","27","","11.0","","-3.1","","3.9","","14.1","","0.0","","","","","","1.9","","","","35","","76",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-28","2019","01","28","","0.3","","-7.7","","-3.7","","21.7","","0.0","","","","","","0.0","","","","35","","35",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-29","2019","01","29","","0.2","","-12.7","","-6.2","","24.2","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-30","2019","01","30","","7.5","","-10.1","","-1.3","","19.3","","0.0","","","","","","0.0","","","","28","","43",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-01-31","2019","01","31","","9.2","","0.5","","4.8","","13.2","","0.0","","","","","","0.7","","","","26","","69",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-01","2019","02","01","","9.2","","-12.5","","-1.7","","19.7","","0.0","","","","","","0.0","","","","24","","49",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-02","2019","02","02","","-12.3","","-19.7","","-16.0","","34.0","","0.0","","","","","","0.0","","","","36","","34",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-03","2019","02","03","","-19.6","","-25.4","","-22.5","","40.5","","0.0","","","","","","0.7","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-04","2019","02","04","","-22.8","","-28.2","","-25.5","","43.5","","0.0","","","","","","0.7","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-05","2019","02","05","","-19.5","","-26.4","","-22.9","","40.9","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-06","2019","02","06","","-18.8","","-30.8","","-24.8","","42.8","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-07","2019","02","07","","-17.7","","-32.8","","-25.3","","43.3","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-08","2019","02","08","","-17.5","","-23.0","","-20.2","","38.2","","0.0","","","","","","1.3","","","","2","","32",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-09","2019","02","09","","-22.0","","-27.3","","-24.6","","42.6","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-10","2019","02","10","","-20.6","","-32.1","","-26.3","","44.3","","0.0","","","","","","0.7","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-11","2019","02","11","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-12","2019","02","12","","-16.2","","-27.1","","-21.6","","39.6","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-13","2019","02","13","","-16.2","","-24.9","","-20.6","","38.6","","0.0","","","","","","0.7","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-14","2019","02","14","","-14.7","","-30.3","","-22.5","","40.5","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-15","2019","02","15","","-16.3","","-20.7","","-18.5","","36.5","","0.0","","","","","","4.2","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-16","2019","02","16","","-15.4","","-17.1","","-16.2","","34.2","","0.0","","","","","","0.6","","","","34","","48",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-17","2019","02","17","","-15.6","","-26.3","","-21.0","","39.0","","0.0","","","","","","0.0","","","","34","","32",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-18","2019","02","18","","-15.3","","-30.9","","-23.1","","41.1","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-19","2019","02","19","","-3.3","","-15.3","","-9.3","","27.3","","0.0","","","","","","0.0","","","","28","","49",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-20","2019","02","20","","-3.8","","-10.7","","-7.3","","25.3","","0.0","","","","","","1.3","","","","36","","53",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-21","2019","02","21","","-9.8","","-23.1","","-16.5","","34.5","","0.0","","","","","","0.0","","","","2","","52",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-22","2019","02","22","","0.6","","-20.2","","-9.8","","27.8","","0.0","","","","","","0.0","","","","27","","54",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-23","2019","02","23","","-2.9","","-21.2","","-12.1","","30.1","","0.0","","","","","","0.0","","","","1","","46",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-24","2019","02","24","","-15.1","","-29.3","","-22.2","","40.2","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-25","2019","02","25","","-19.6","","-34.5","","-27.0","","45.0","","0.0","","","","","","0.8","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-26","2019","02","26","","-15.0","","-26.2","","-20.6","","38.6","","0.0","","","","","","1.3","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-27","2019","02","27","","-5.5","","-24.8","","-15.1","","33.1","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-02-28","2019","02","28","","-3.2","","-13.5","","-8.3","","26.3","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-03-01","2019","03","01","","-7.4","","-27.1","","-17.2","","35.2","","0.0","","","","","","1.0","","","","3","","47",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-03-02","2019","03","02","","-18.0","","-36.8","","-27.4","","45.4","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-03-03","2019","03","03","","-14.7","","-32.0","","-23.3","","41.3","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-03-04","2019","03","04","","-9.2","","-28.9","","-19.1","","37.1","","0.0","","","","","","0.0","","","","","","",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2019-03-05","2019","03","05","","-4.1","","-23.8","","-13.9","","31.9","","0.0","","","","","","0.0","","","","","","",""
