"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-01","2001","01","01","","-1.2","","-9.4","","-5.3","","23.3","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-02","2001","01","02","","-8.7","","-13.4","","-11.1","","29.1","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-03","2001","01","03","","-8.9","","-19.5","","-14.2","","32.2","","0.0","","","","","","0.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-04","2001","01","04","","-5.1","","-17.8","","-11.5","","29.5","","0.0","","","","","","2.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-05","2001","01","05","","-8.7","","-22.1","","-15.4","","33.4","","0.0","","","","","","1.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-06","2001","01","06","","-5.9","","-9.1","","-7.5","","25.5","","0.0","","","","","","1.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-07","2001","01","07","","-2.7","","-14.9","","-8.8","","26.8","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-08","2001","01","08","","-5.7","","-16.3","","-11.0","","29.0","","0.0","","","","","","0.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-09","2001","01","09","","-11.6","","-17.9","","-14.8","","32.8","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-10","2001","01","10","","-12.4","","-21.4","","-16.9","","34.9","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-11","2001","01","11","","-7.0","","-17.4","","-12.2","","30.2","","0.0","","","","","","0.8","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-12","2001","01","12","","-8.7","","-19.2","","-14.0","","32.0","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-13","2001","01","13","","-8.0","","-18.9","","-13.5","","31.5","","0.0","","","","","","0.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-14","2001","01","14","","-3.5","","-14.9","","-9.2","","27.2","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-15","2001","01","15","","-8.7","","-17.4","","-13.1","","31.1","","0.0","","","","","","1.8","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-16","2001","01","16","","-5.4","","-9.3","","-7.4","","25.4","","0.0","","","","","","4.6","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-17","2001","01","17","","-9.1","","-22.3","","-15.7","","33.7","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-18","2001","01","18","","-9.4","","-24.4","","-16.9","","34.9","","0.0","","","","","","1.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-19","2001","01","19","","-3.4","","-16.9","","-10.2","","28.2","","0.0","","","","","","2.2","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2001-01-20","2001","01","20","","-13.7","","-24.8","","-19.3","","37.3","","0.0","","","","","","0.0","","","","","","",""
