"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-01","2019","01","01","","1.7","","-22.1","","-10.2","","28.2","","0.0","","","","","","18.2","","35","","8","","66",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-02","2019","01","02","","-16.0","","-30.9","","-23.5","","41.5","","0.0","","","","","","0.0","","37","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-03","2019","01","03","","-7.5","","-17.2","","-12.4","","30.4","","0.0","","","","","","3.1","","38","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-04","2019","01","04","","1.1","","-8.7","","-3.8","","21.8","","0.0","","","","","","7.0","","42","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-05","2019","01","05","","2.1","","-2.8","","-0.3","","18.3","","0.0","","","","","","0.1","","42","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-06","2019","01","06","","-1.1","","-15.1","","-8.1","","26.1","","0.0","","","","","","0.0","","41","","32","","45",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-07","2019","01","07","","-10.0","","-24.1","","-17.0","","35.0","","0.0","","","","","","0.0","","40","","5","","37",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-08","2019","01","08","","-2.6","","-10.0","","-6.3","","24.3","","0.0","","","","","","10.0","","41","","7","","42",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-09","2019","01","09","","-0.9","","-3.3","","-2.1","","20.1","","0.0","","","","","","11.2","","46","","6","","48",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-10","2019","01","10","","-0.5","","-13.1","","-6.8","","24.8","","0.0","","","","","","0.0","","50","","31","","39",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-11","2019","01","11","","-13.1","","-18.4","","-15.7","","33.7","","0.0","","","","","","0.0","","49","","26","","43",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-12","2019","01","12","","-14.1","","-20.4","","-17.2","","35.2","","0.0","","","","","","0.0","","48","","24","","36",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-13","2019","01","13","","-9.9","","-23.9","","-16.9","","34.9","","0.0","","","","","","0.0","","47","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-14","2019","01","14","","-11.8","","-25.3","","-18.6","","36.6","","0.0","","","","","","0.0","","47","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-15","2019","01","15","","-7.0","","-16.9","","-11.9","","29.9","","0.0","","","","","","0.0","","47","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-16","2019","01","16","","-1.0","","-21.2","","-11.1","","29.1","","0.0","","","","","","6.8","","48","","","M","","M"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-17","2019","01","17","","-19.0","","-27.8","","-23.4","","41.4","","0.0","","","","","","0.0","","46","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-18","2019","01","18","","-8.6","","-19.5","","-14.1","","32.1","","0.0","","","","","","3.0","","46","","27","","45",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-19","2019","01","19","","-18.1","","-28.5","","-23.3","","41.3","","0.0","","","","","","0.0","","51","","9","","38",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-20","2019","01","20","","-13.3","","-20.0","","-16.7","","34.7","","0.0","","","","","","8.6","","51","","7","","60",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-21","2019","01","21","","-14.9","","-19.8","","-17.4","","35.4","","0.0","","","","","","0.2","","64","","32","","40",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-22","2019","01","22","","-14.7","","-23.1","","-18.9","","36.9","","0.0","","","","","","0.1","","55","","26","","39",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-23","2019","01","23","","-5.4","","-17.4","","-11.4","","29.4","","0.0","","","","","","10.3","","52","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-24","2019","01","24","","-0.3","","-5.4","","-2.8","","20.8","","0.0","","","","","","14.0","","59","","","M","","M"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-25","2019","01","25","","-4.3","","-14.1","","-9.2","","27.2","","0.0","","","","","","0.7","","56","","","M","","M"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-26","2019","01","26","","-13.1","","-22.9","","-18.0","","36.0","","0.0","","","","","","0.0","","56","","","M","","M"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-27","2019","01","27","","-4.7","","-24.4","","-14.5","","32.5","","0.0","","","","","","5.6","","56","","","M","","M"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-28","2019","01","28","","-11.8","","-30.3","","-21.0","","39.0","","0.0","","","","","","0.0","","59","","","M","","M"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-29","2019","01","29","","-10.8","","-21.7","","-16.3","","34.3","","0.0","","","","","","6.8","","59","","","M","","M"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-30","2019","01","30","","-8.5","","-16.5","","-12.5","","30.5","","0.0","","","","","","3.3","","78","","","M","","M"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-01-31","2019","01","31","","-16.5","","-25.0","","-20.7","","38.7","","0.0","","","","","","0.2","","79","","","M","","M"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-01","2019","02","01","","-14.9","","-21.9","","-18.4","","36.4","","0.0","","","","","","0.0","","67","","","M","","M"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-02","2019","02","02","","-10.5","","-23.1","","-16.8","","34.8","","0.0","","","","","","3.9","","65","","25","","37",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-03","2019","02","03","","-8.7","","-26.1","","-17.4","","35.4","","0.0","","","","","","0.3","","68","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-04","2019","02","04","","-2.6","","-9.0","","-5.8","","23.8","","0.0","","","","","","4.5","","69","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-05","2019","02","05","","2.5","","-9.8","","-3.7","","21.7","","0.0","","","","","","8.5","","69","","","M","","M"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-06","2019","02","06","","-7.4","","-16.1","","-11.7","","29.7","","0.0","","","","","","2.8","","65","","9","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-07","2019","02","07","","-1.8","","-7.4","","-4.6","","22.6","","0.0","","","","","","1.0","","71","","6","","33",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-08","2019","02","08","","4.7","","-10.5","","-2.9","","20.9","","0.0","","","","","","7.7","","68","","24","","95",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-09","2019","02","09","","-8.0","","-14.7","","-11.4","","29.4","","0.0","","","","","","0.6","","65","","29","","78",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-10","2019","02","10","","-9.1","","-15.3","","-12.2","","30.2","","0.0","","","","","","0.0","","65","","25","","38",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-11","2019","02","11","","-11.1","","-20.2","","-15.7","","33.7","","0.0","","","","","","0.0","","65","","30","","34",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-12","2019","02","12","","-8.7","","-27.2","","-18.0","","36.0","","0.0","","","","","","3.3","","64","","5","","59",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-13","2019","02","13","","-7.2","","-9.6","","-8.4","","26.4","","0.0","","","","","","13.9","","78","","6","","64",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-14","2019","02","14","","-4.0","","-16.4","","-10.2","","28.2","","0.0","","","","","","1.4","","89","","26","","33",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-15","2019","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-16","2019","02","16","","-0.4","","-14.1","","-7.3","","25.3","","0.0","","","","","","0.0","","100","","27","","45",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-17","2019","02","17","","-9.3","","-27.2","","-18.2","","36.2","","0.0","","","","","","0.0","","94","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-18","2019","02","18","","-9.2","","-30.0","","-19.6","","37.6","","0.0","","","","","","0.0","","93","","31","","33",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-19","2019","02","19","","-10.8","","-23.2","","-17.0","","35.0","","0.0","","","","","","0.0","","91","","26","","41",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-20","2019","02","20","","-7.4","","-24.8","","-16.1","","34.1","","0.0","","","","","","0.1","","89","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-21","2019","02","21","","-2.6","","-11.0","","-6.8","","24.8","","0.0","","","","","","6.8","","94","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-22","2019","02","22","","-2.7","","-19.3","","-11.0","","29.0","","0.0","","","","","","0.0","","93","","26","","33",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-23","2019","02","23","","-2.5","","-23.5","","-13.0","","31.0","","0.0","","","","","","0.0","","91","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-24","2019","02","24","","-2.6","","-8.0","","-5.3","","23.3","","0.0","","","","","","21.7","","90","","9","","56",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-25","2019","02","25","","-1.6","","-15.1","","-8.3","","26.3","","0.0","","","","","","5.9","","105","","27","","66",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-26","2019","02","26","","-14.8","","-20.7","","-17.8","","35.8","","0.0","","","","","","0.3","","97","","27","","67",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2019-02-27","2019","02","27","","-14.1","","-28.6","","-21.4","","39.4","","0.0","","","","","","0.0","","92","","29","","38",""
