"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-01","2016","01","01","","-1.6","","-9.0","","-5.3","","23.3","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-02","2016","01","02","","-1.4","","-4.9","","-3.2","","21.2","","0.0","","","","","","1.8","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-03","2016","01","03","","-0.5","","-12.8","","-6.7","","24.7","","0.0","","","","","","7.2","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-04","2016","01","04","","-10.9","","-19.4","","-15.2","","33.2","","0.0","","","","","","0.3","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-05","2016","01","05","","-11.9","","-28.0","","-20.0","","38.0","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-06","2016","01","06","","-3.5","","-12.3","","-7.9","","25.9","","0.0","","","","","","0.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-07","2016","01","07","","-1.9","","-11.4","","-6.7","","24.7","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-08","2016","01","08","","-1.7","","-5.8","","-3.8","","21.8","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-09","2016","01","09","","-0.3","","-2.9","","-1.6","","19.6","","0.0","","","","","","6.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-10","2016","01","10","","5.3","","-0.4","","2.5","","15.5","","0.0","","","","","","18.5","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-11","2016","01","11","","2.9","","-14.3","","-5.7","","23.7","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-12","2016","01","12","","-7.4","","-18.9","","-13.2","","31.2","","0.0","","","","","","1.8","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-13","2016","01","13","","-6.2","","-15.6","","-10.9","","28.9","","0.0","","","","","","1.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-14","2016","01","14","","-11.1","","-24.4","","-17.8","","35.8","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-15","2016","01","15","","-6.9","","-26.9","","-16.9","","34.9","","0.0","","","","","","1.4","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-16","2016","01","16","","-6.3","","-7.7","","-7.0","","25.0","","0.0","","","","","","1.6","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-17","2016","01","17","","-5.0","","-17.6","","-11.3","","29.3","","0.0","","","","","","1.6","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-18","2016","01","18","","-6.2","","-14.2","","-10.2","","28.2","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-19","2016","01","19","","-6.0","","-15.6","","-10.8","","28.8","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2016-01-20","2016","01","20","","-5.2","","-11.4","","-8.3","","26.3","","0.0","","","","","","0.0","T","","","","","",""
