"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-01","2015","01","01","","1.5","","-6.1","","-2.3","","20.3","","0.0","","","M","","M","0.0","","","","28","","33",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-02","2015","01","02","","4.9","","-16.7","","-5.9","","23.9","","0.0","","","M","","M","0.6","","","","24","","72",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-03","2015","01","03","","-16.7","","-21.7","","-19.2","","37.2","","0.0","","","M","","M","0.6","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-04","2015","01","04","","-15.6","","-22.4","","-19.0","","37.0","","0.0","","","M","","M","2.3","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-05","2015","01","05","","-9.4","","-17.9","","-13.7","","31.7","","0.0","","","M","","M","0.7","","","","35","","43",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-06","2015","01","06","","-12.9","","-15.4","","-14.2","","32.2","","0.0","","","M","","M","2.3","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-07","2015","01","07","","9.5","","-14.4","","-2.5","","20.5","","0.0","","","M","","M","1.5","","","","25","","50",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-08","2015","01","08","","1.0","","-26.2","","-12.6","","30.6","","0.0","","","M","","M","0.0","","","","36","","46",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-09","2015","01","09","","-10.4","","-28.1","","-19.3","","37.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-10","2015","01","10","","-3.5","","-15.7","","-9.6","","27.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-11","2015","01","11","","-7.0","","-18.6","","-12.8","","30.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-12","2015","01","12","","-3.4","","-21.4","","-12.4","","30.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-13","2015","01","13","","2.5","","-14.8","","-6.2","","24.2","","0.0","","","M","","M","0.0","","","","25","","39",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-14","2015","01","14","","6.3","","-0.6","","2.9","","15.1","","0.0","","","M","","M","0.7","","","","25","","50",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-15","2015","01","15","","7.5","","1.1","","4.3","","13.7","","0.0","","","M","","M","0.0","","","","28","","82",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-16","2015","01","16","","6.9","","0.6","","3.8","","14.2","","0.0","","","M","","M","0.7","","","","25","","82",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-17","2015","01","17","","6.6","","2.1","","4.4","","13.6","","0.0","","","M","","M","0.0","","","","25","","83",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-18","2015","01","18","","7.8","","1.0","","4.4","","13.6","","0.0","","","M","","M","1.5","","","","26","","72",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-19","2015","01","19","","6.0","","2.0","","4.0","","14.0","","0.0","","","M","","M","0.0","","","","24","","61",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-20","2015","01","20","","5.2","","-4.1","","0.6","","17.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-21","2015","01","21","","7.0","","-6.0","","0.5","","17.5","","0.0","","","M","","M","0.0","","","","25","","69",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2015-01-22","2015","01","22","","8.7","","3.9","","6.3","","11.7","","0.0","","","M","","M","0.0","","","","25","","72",""
