"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-01","2018","01","01","","-19.3","","-25.4","","-22.4","","40.4","","0.0","","","M","","M","0.0","","33","","25","","33",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-02","2018","01","02","","-19.4","","-27.0","","-23.2","","41.2","","0.0","","","M","","M","0.2","","32","","24","","32",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-03","2018","01","03","","-11.3","","-29.0","","-20.2","","38.2","","0.0","","","M","","M","1.3","","32","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-04","2018","01","04","","-6.4","","-15.1","","-10.8","","28.8","","0.0","","","M","","M","3.5","","37","","35","","44",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-05","2018","01","05","","-8.6","","-21.0","","-14.8","","32.8","","0.0","","","M","","M","0.9","","36","","26","","59",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-06","2018","01","06","","-18.7","","-24.4","","-21.6","","39.6","","0.0","","","M","","M","0.5","","24","","27","","57",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-07","2018","01","07","","-18.1","","-25.8","","-22.0","","40.0","","0.0","","","M","","M","4.2","","45","","25","","37",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-08","2018","01","08","","-7.4","","-18.1","","-12.8","","30.8","","0.0","","","M","","M","8.4","","51","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-09","2018","01","09","","-4.2","","-11.5","","-7.9","","25.9","","0.0","","","M","","M","1.0","","62","","28","","50",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-10","2018","01","10","","-4.6","","-14.7","","-9.7","","27.7","","0.0","","","M","","M","0.3","","50","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-11","2018","01","11","","4.4","","-4.7","","-0.2","","18.2","","0.0","","","M","","M","11.4","","50","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-12","2018","01","12","","9.3","","-3.8","","2.8","","15.2","","0.0","","","M","","M","20.8","","45","","33","","44",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-13","2018","01","13","","-3.9","","-25.0","","-14.5","","32.5","","0.0","","","M","","M","17.1","","54","","34","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-14","2018","01","14","","-19.2","","-34.4","","-26.8","","44.8","","0.0","","","M","","M","0.0","","59","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-15","2018","01","15","","-13.8","","-34.3","","-24.1","","42.1","","0.0","","","M","","M","0.5","","58","","8","","37",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-16","2018","01","16","","-10.9","","-20.6","","-15.8","","33.8","","0.0","","","M","","M","0.0","","55","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-17","2018","01","17","","-7.4","","-16.2","","-11.8","","29.8","","0.0","","","M","","M","0.0","T","54","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-18","2018","01","18","","-4.1","","-14.0","","-9.1","","27.1","","0.0","","","M","","M","0.8","","54","","25","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-19","2018","01","19","","-2.0","","-9.0","","-5.5","","23.5","","0.0","","","M","","M","0.5","","52","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-20","2018","01","20","","3.0","","-9.6","","-3.3","","21.3","","0.0","","","M","","M","3.1","","55","","28","","52",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-21","2018","01","21","","-7.1","","-16.4","","-11.8","","29.8","","0.0","","","M","","M","0.0","","51","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-22","2018","01","22","","-7.1","","-13.0","","-10.1","","28.1","","0.0","","","M","","M","2.9","","51","","7","","54",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-23","2018","01","23","","-5.7","","-9.8","","-7.8","","25.8","","0.0","","","M","","M","20.0","","67","","6","","56",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-24","2018","01","24","","-5.1","","-17.4","","-11.3","","29.3","","0.0","","","M","","M","1.3","","57","","27","","54",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-25","2018","01","25","","-14.5","","-21.3","","-17.9","","35.9","","0.0","","","M","","M","0.0","","56","","27","","37",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-26","2018","01","26","","-13.4","","-23.0","","-18.2","","36.2","","0.0","","","M","","M","0.0","","56","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-27","2018","01","27","","2.0","","-18.3","","-8.2","","26.2","","0.0","","","M","","M","4.3","","56","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-28","2018","01","28","","3.5","","-10.8","","-3.7","","21.7","","0.0","","","M","","M","1.1","","56","","28","","52",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-29","2018","01","29","","-8.7","","-15.9","","-12.3","","30.3","","0.0","","","M","","M","0.0","","55","","7","","33",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-30","2018","01","30","","-8.9","","-15.2","","-12.1","","30.1","","0.0","","","M","","M","0.0","T","55","","6","","33",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-01-31","2018","01","31","","-12.3","","-20.9","","-16.6","","34.6","","0.0","","","M","","M","2.6","","55","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2018-02-01","2018","02","01","","-1.0","","-12.4","","-6.7","","24.7","","0.0","","","M","","M","0.9","","60","","28","","44",""
