"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-01","1996","01","01","","-12.4","","-21.3","","-16.9","","34.9","","0.0","","0.0","","","M","0.0","","31","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-02","1996","01","02","","-16.1","","-24.2","","-20.2","","38.2","","0.0","","0.0","","","M","0.0","","31","","24","","32",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-03","1996","01","03","","-18.0","","-25.9","","-22.0","","40.0","","0.0","","0.0","","","M","0.0","","31","","7","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-04","1996","01","04","","-20.2","","-27.0","","-23.6","","41.6","","0.0","","0.0","","","M","0.0","","31","","22","","39",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-05","1996","01","05","","-21.4","","-25.7","","-23.6","","41.6","","0.0","","0.0","","","M","0.0","","31","","27","","52",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-06","1996","01","06","","-15.4","","-24.0","","-19.7","","37.7","","0.0","","0.0","","","M","0.0","","28","","26","","44",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-07","1996","01","07","","-16.6","","-25.0","","-20.8","","38.8","","0.0","","0.0","","","M","0.0","","28","","23","","43",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-08","1996","01","08","","-12.5","","-24.2","","-18.4","","36.4","","0.0","","0.0","","","M","0.0","","27","","8","","32",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-09","1996","01","09","","-11.9","","-17.8","","-14.9","","32.9","","0.0","","0.0","","","M","1.0","","28","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-10","1996","01","10","","-7.5","","-13.7","","-10.6","","28.6","","0.0","","0.0","","","M","2.2","","29","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-11","1996","01","11","","-11.0","","-19.9","","-15.5","","33.5","","0.0","","0.0","","","M","1.0","","31","","25","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-12","1996","01","12","","-6.0","","-17.3","","-11.7","","29.7","","0.0","","0.0","","","M","0.0","","27","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-13","1996","01","13","","-5.1","E","","M","","M","","M","","M","","M","","M","0.0","","28","","28","","50",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-14","1996","01","14","","-5.6","","-19.2","","-12.4","","30.4","","0.0","","0.0","","","M","7.0","","28","","32","","48",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-15","1996","01","15","","-15.3","","-25.1","","-20.2","","38.2","","0.0","","0.0","","","M","0.0","","28","","24","","43",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-16","1996","01","16","","-7.7","","-25.4","","-16.6","","34.6","","0.0","","0.0","","","M","3.6","","28","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-17","1996","01","17","","4.4","","-9.3","","-2.5","","20.5","","0.0","","0.0","","","M","16.0","","31","","25","","44",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-18","1996","01","18","","2.1","","0.1","","1.1","","16.9","","0.0","","0.0","","","M","0.0","","27","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-19","1996","01","19","","17.7","E","-3.4","","7.2","E","10.8","E","0.0","E","","M","","M","7.2","","24","","24","","80",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-20","1996","01","20","","-3.4","","-14.3","","-8.9","","26.9","","0.0","","0.0","","","M","0.0","","","","27","","80",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-21","1996","01","21","","-9.3","","-19.0","","-14.2","","32.2","","0.0","","0.0","","","M","1.0","","8","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-22","1996","01","22","","-1.6","","-9.3","","-5.5","","23.5","","0.0","","0.0","","","M","1.0","","12","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-23","1996","01","23","","0.7","","-6.0","","-2.7","","20.7","","0.0","","0.0","","","M","4.6","","14","","","","<31",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-24","1996","01","24","","3.3","","-3.7","","-0.2","","18.2","","0.0","","0.0","","","M","24.4","","15","","8","","44",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-25","1996","01","25","","1.9","","-19.6","","-8.9","","26.9","","0.0","","0.0","","","M","0.0","","13","","28","","46",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-26","1996","01","26","","-8.0","","-20.6","","-14.3","","32.3","","0.0","","0.0","","","M","1.2","","16","","6","","35",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-27","1996","01","27","","5.9","","-8.7","","-1.4","","19.4","","0.0","","0.0","","","M","15.8","","12","","7","","56",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-28","1996","01","28","","-2.8","","-19.9","","-11.4","","29.4","","0.0","","0.0","","","M","0.0","","20","","28","","57",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","1996-01-29","1996","01","29","","-10.3","","-21.2","","-15.8","","33.8","","0.0","","0.0","","","M","3.5","","17","","9","","54",""
