"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-01","2008","01","01","","-4.5","","-9.0","","-6.8","","24.8","","0.0","","","","","","0.2","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-02","2008","01","02","","-7.4","","-20.6","","-14.0","","32.0","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-03","2008","01","03","","-16.9","","-24.8","","-20.9","","38.9","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-04","2008","01","04","","-4.1","","-20.1","","-12.1","","30.1","","0.0","","","","","","2.1","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-05","2008","01","05","","-1.8","","-4.9","","-3.4","","21.4","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-06","2008","01","06","","1.1","","-3.4","","-1.2","","19.2","","0.0","","","","","","2.8","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-07","2008","01","07","","3.4","","0.2","","1.8","","16.2","","0.0","","","","","","3.3","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-08","2008","01","08","","5.6","","0.6","","3.1","","14.9","","0.0","","","","","","15.8","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-09","2008","01","09","","6.4","","0.0","","3.2","","14.8","","0.0","","","","","","7.1","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-10","2008","01","10","","2.1","","-6.1","","-2.0","","20.0","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-11","2008","01","11","","-0.5","","-6.4","","-3.5","","21.5","","0.0","","","","","","9.8","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-12","2008","01","12","","2.8","","-8.2","","-2.7","","20.7","","0.0","","","","","","0.8","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-13","2008","01","13","","-6.6","","-13.1","","-9.9","","27.9","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-14","2008","01","14","","-5.7","","-7.7","","-6.7","","24.7","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-15","2008","01","15","","-5.0","","-9.1","","-7.1","","25.1","","0.0","","","","","","0.0","T","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-16","2008","01","16","","-7.0","","-15.9","","-11.5","","29.5","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-17","2008","01","17","","-4.9","","-18.8","","-11.9","","29.9","","0.0","","","","","","0.0","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-18","2008","01","18","","2.0","","-7.7","","-2.9","","20.9","","0.0","","","","","","13.1","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-19","2008","01","19","","-4.6","","-14.8","","-9.7","","27.7","","0.0","","","","","","0.3","","","","","","",""
"-71.38","46.80","QUEBEC/JEAN LESAGE INTL","701S001","2008-01-20","2008","01","20","","-14.0","","-24.3","","-19.2","","37.2","","0.0","","","","","","0.0","","","","","","",""
