"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.67","50.43","REGINA INT'L A","4016560","1996-01-01","1996","01","01","","-10.1","","-17.1","","-13.6","","31.6","","0.0","","0.0","","2.4","","1.6","","20","","","","<31",""
"-104.67","50.43","REGINA INT'L A","4016560","1996-01-02","1996","01","02","","-10.3","","-21.6","","-16.0","","34.0","","0.0","","0.0","","0.0","T","0.0","T","21","","13","E","56","E"
"-104.67","50.43","REGINA INT'L A","4016560","1996-01-03","1996","01","03","","-9.4","","-19.9","","-14.7","","32.7","","0.0","","0.0","","0.0","T","0.0","T","21","","7","","37",""
"-104.67","50.43","REGINA INT'L A","4016560","1996-01-04","1996","01","04","","-19.8","","-33.9","","-26.9","","44.9","","0.0","","0.0","","0.2","","0.2","","21","","","","<31",""
"-104.67","50.43","REGINA INT'L A","4016560","1996-01-05","1996","01","05","","-29.4","","-36.8","","-33.1","","51.1","","0.0","","0.0","","0.0","T","0.0","T","21","","","","<31",""
"-104.67","50.43","REGINA INT'L A","4016560","1996-01-06","1996","01","06","","-22.6","","-32.7","","-27.7","","45.7","","0.0","","0.0","","0.0","T","0.0","T","20","","14","E","43","E"
"-104.67","50.43","REGINA INT'L A","4016560","1996-01-07","1996","01","07","","-0.1","","-22.8","","-11.5","","29.5","","0.0","","0.0","","0.0","T","0.0","T","20","","13","E","44","E"
"-104.67","50.43","REGINA INT'L A","4016560","1996-01-08","1996","01","08","","-1.9","","-9.7","","-5.8","","23.8","","0.0","","0.0","","0.0","","0.0","","20","","32","E","37","E"
"-104.67","50.43","REGINA INT'L A","4016560","1996-01-09","1996","01","09","","-3.3","","-15.0","","-9.2","","27.2","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"-104.67","50.43","REGINA INT'L A","4016560","1996-01-10","1996","01","10","","-5.0","","-12.7","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","20","","30","E","44","E"
