"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-01","2013","01","01","","1.9","E","-6.4","E","-2.3","E","20.3","E","0.0","E","","M","","M","","M","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-02","2013","01","02","","1.5","","-14.9","","-6.7","","24.7","","0.0","","","M","","M","0.0","","","","24","","32",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-03","2013","01","03","","9.6","","-5.9","","1.9","","16.1","","0.0","","","M","","M","0.0","","","","25","","52",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-04","2013","01","04","","4.8","","-1.6","","1.6","","16.4","","0.0","","","M","","M","","M","","","25","","74",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-05","2013","01","05","","6.8","","-9.2","","-1.2","","19.2","","0.0","","","M","","M","0.0","","","","23","","44",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-06","2013","01","06","","5.1","","-0.5","","2.3","","15.7","","0.0","","","M","","M","0.0","","","","25","","76",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-07","2013","01","07","","5.4","","-4.7","","0.4","","17.6","","0.0","","","M","","M","0.0","","","","25","","74",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-08","2013","01","08","","4.7","","-2.1","","1.3","","16.7","","0.0","","","M","","M","0.0","","","","27","","56",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-09","2013","01","09","","9.6","","-4.2","","2.7","","15.3","","0.0","","","M","","M","0.0","","","","24","","76",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-10","2013","01","10","","-3.6","","-12.6","","-8.1","","26.1","","0.0","","","M","","M","","M","","","34","","43",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-11","2013","01","11","","-11.5","","-22.1","","-16.8","","34.8","","0.0","","","M","","M","","M","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-12","2013","01","12","","-7.4","","-19.1","","-13.3","","31.3","","0.0","","","M","","M","","M","","","33","","33",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-13","2013","01","13","","-4.7","","-14.2","","-9.5","","27.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-14","2013","01","14","","-1.0","","-11.8","","-6.4","","24.4","","0.0","","","M","","M","0.0","","","","26","","52",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-15","2013","01","15","","4.8","","-2.5","","1.2","","16.8","","0.0","","","M","","M","0.0","","","","27","","76",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-16","2013","01","16","","6.8","","-3.7","","1.6","","16.4","","0.0","","","M","","M","0.0","","","","29","","82",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-17","2013","01","17","","9.6","","-6.1","","1.8","","16.2","","0.0","","","M","","M","0.0","","","","26","","72",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-18","2013","01","18","","9.8","","4.7","","7.3","","10.7","","0.0","","","M","","M","0.0","","","","25","","72",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-19","2013","01","19","","4.8","","-8.2","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","33","","48",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-20","2013","01","20","","-3.8","","-15.1","","-9.5","","27.5","","0.0","","","M","","M","0.0","","","","35","","57",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-21","2013","01","21","","-5.5","","-15.2","","-10.4","","28.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-22","2013","01","22","","-4.4","","-13.2","","-8.8","","26.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-23","2013","01","23","","-4.1","","-11.6","","-7.9","","25.9","","0.0","","","M","","M","","M","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-24","2013","01","24","","7.3","","-6.0","","0.7","","17.3","","0.0","","","M","","M","0.0","","","","26","","54",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-25","2013","01","25","","11.0","","-2.3","","4.4","","13.6","","0.0","","","M","","M","","M","","","25","","61",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-26","2013","01","26","","3.2","","-6.6","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","25","","32",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2013-01-27","2013","01","27","","4.9","","-5.5","","-0.3","","18.3","","0.0","","","M","","M","0.0","","","","27","","35",""
