"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.77","49.70","LETHBRIDGE CDA","3033890","2008-01-01","2008","01","01","","-2.4","E","-20.1","E","-11.3","E","29.3","E","0.0","E","","M","","M","","M","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2008-01-02","2008","01","02","","6.5","","-7.6","","-0.6","","18.6","","0.0","","","M","","M","","M","","","27","","69",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2008-01-03","2008","01","03","","5.8","","-7.7","","-1.0","","19.0","","0.0","","","M","","M","0.0","","","","27","","39",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2008-01-04","2008","01","04","","6.1","","-1.5","","2.3","","15.7","","0.0","","","M","","M","0.0","","","","23","","44",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2008-01-05","2008","01","05","","5.4","","-1.3","","2.1","","15.9","","0.0","","","M","","M","0.0","","","","23","","63",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2008-01-06","2008","01","06","","3.6","","-3.7","","-0.1","","18.1","","0.0","","","M","","M","0.0","","","","25","","57",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2008-01-07","2008","01","07","","1.7","","-11.0","","-4.7","","22.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2008-01-08","2008","01","08","","1.4","","-11.6","","-5.1","","23.1","","0.0","","","M","","M","0.0","","","","26","","43",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2008-01-09","2008","01","09","","4.2","","-8.0","","-1.9","","19.9","","0.0","","","M","","M","0.0","","","","27","","43",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2008-01-10","2008","01","10","","3.5","","-8.4","","-2.5","","20.5","","0.0","","","M","","M","0.0","","","","25","","67",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2008-01-11","2008","01","11","","6.9","","-7.3","","-0.2","","18.2","","0.0","","","M","","M","0.0","","","","27","","33",""
