"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-01","2011","01","01","","-5.0","E","-23.5","E","-14.3","E","32.3","E","0.0","E","","M","","M","","M","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-02","2011","01","02","","-2.1","","-5.7","","-3.9","","21.9","","0.0","","","M","","M","","M","","","26","","43",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-03","2011","01","03","","-3.1","","-11.4","","-7.3","","25.3","","0.0","","","M","","M","0.0","","","","26","","37",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-04","2011","01","04","","0.3","","-7.1","","-3.4","","21.4","","0.0","","","M","","M","","M","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-05","2011","01","05","","4.9","","-0.7","","2.1","","15.9","","0.0","","","M","","M","0.0","","","","26","","85",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-06","2011","01","06","","9.6","","-2.0","","3.8","","14.2","","0.0","","","M","","M","0.0","","","","25","","74",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-07","2011","01","07","","5.6","","-2.8","","1.4","","16.6","","0.0","","","M","","M","0.0","","","","18","","33",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-08","2011","01","08","","1.7","","-12.8","","-5.6","","23.6","","0.0","","","M","","M","","M","","","33","","72",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-09","2011","01","09","","-12.8","","-16.3","","-14.6","","32.6","","0.0","","","M","","M","0.0","","","","34","","70",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-10","2011","01","10","","-15.4","","-23.8","","-19.6","","37.6","","0.0","","","M","","M","","M","","","1","","44",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-11","2011","01","11","","-14.0","","-28.3","","-21.2","","39.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-12","2011","01","12","","-15.5","","-21.9","","-18.7","","36.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-13","2011","01","13","","-17.4","","-20.3","","-18.9","","36.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-14","2011","01","14","","-19.1","","-21.7","","-20.4","","38.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-15","2011","01","15","","-18.3","","-22.1","","-20.2","","38.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-16","2011","01","16","","-12.8","","-21.4","","-17.1","","35.1","","0.0","","","M","","M","0.0","","","","3","","32",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-17","2011","01","17","","-14.7","","-19.7","","-17.2","","35.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-18","2011","01","18","","-3.5","","-20.1","","-11.8","","29.8","","0.0","","","M","","M","","M","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-19","2011","01","19","","-1.9","","-19.3","","-10.6","","28.6","","0.0","","","M","","M","0.0","","","","27","","39",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-20","2011","01","20","","1.7","","-18.6","","-8.5","","26.5","","0.0","","","M","","M","","M","","","26","","91",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-21","2011","01","21","","5.6","","0.8","","3.2","","14.8","","0.0","","","M","","M","0.0","","","","26","","63",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-22","2011","01","22","","5.1","","-2.2","","1.5","","16.5","","0.0","","","M","","M","0.0","","","","26","","87",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-23","2011","01","23","","6.6","","-4.1","","1.3","","16.7","","0.0","","","M","","M","0.0","","","","25","","102",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-24","2011","01","24","","6.6","","-7.5","","-0.5","","18.5","","0.0","","","M","","M","0.0","","","","25","","87",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-25","2011","01","25","","10.4","","-1.6","","4.4","","13.6","","0.0","","","M","","M","0.0","","","","26","","50",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-26","2011","01","26","","9.5","","4.8","","7.2","","10.8","","0.0","","","M","","M","0.0","","","","26","","82",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-27","2011","01","27","","12.7","","6.8","","9.8","","8.2","","0.0","","","M","","M","0.0","","","","26","","69",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-28","2011","01","28","","9.6","","-5.0","","2.3","","15.7","","0.0","","","M","","M","0.0","","","","26","","56",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-29","2011","01","29","","-5.0","","-19.5","","-12.3","","30.3","","0.0","","","M","","M","","M","","","3","","32",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-30","2011","01","30","","-19.5","","-29.0","","-24.3","","42.3","","0.0","","","M","","M","","M","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-01-31","2011","01","31","","-16.6","","-34.1","","-25.4","","43.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-01","2011","02","01","","-8.1","","-33.5","","-20.8","","38.8","","0.0","","","M","","M","","M","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-02","2011","02","02","","2.7","","-12.8","","-5.1","","23.1","","0.0","","","M","","M","0.0","","","","25","","50",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-03","2011","02","03","","5.9","","-2.9","","1.5","","16.5","","0.0","","","M","","M","0.0","","","","27","","80",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-04","2011","02","04","","10.6","","2.3","","6.5","","11.5","","0.0","","","M","","M","0.0","","","","26","","82",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-05","2011","02","05","","2.3","","-5.6","","-1.7","","19.7","","0.0","","","M","","M","","M","","","1","","54",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-06","2011","02","06","","-5.6","","-10.7","","-8.2","","26.2","","0.0","","","M","","M","0.0","","","","35","","48",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-07","2011","02","07","","-10.0","","-21.0","","-15.5","","33.5","","0.0","","","M","","M","","M","","","12","","41",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-08","2011","02","08","","-10.0","","-27.2","","-18.6","","36.6","","0.0","","","M","","M","","M","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-09","2011","02","09","","-1.0","","-22.0","","-11.5","","29.5","","0.0","","","M","","M","0.0","","","","26","","56",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-10","2011","02","10","","4.7","","-2.5","","1.1","","16.9","","0.0","","","M","","M","0.0","","","","26","","61",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-11","2011","02","11","","7.1","","1.3","","4.2","","13.8","","0.0","","","M","","M","0.0","","","","25","","80",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-12","2011","02","12","","11.0","","2.9","","7.0","","11.0","","0.0","","","M","","M","0.0","","","","26","","89",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-13","2011","02","13","","7.2","","-0.6","","3.3","","14.7","","0.0","","","M","","M","0.0","","","","25","","82",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-14","2011","02","14","","13.2","","-2.8","","5.2","","12.8","","0.0","","","M","","M","0.0","","","","22","","41",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-15","2011","02","15","","8.0","","-0.1","","4.0","","14.0","","0.0","","","M","","M","0.2","","","","22","","54",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-16","2011","02","16","","0.8","","-15.4","","-7.3","","25.3","","0.0","","","M","","M","","M","","","9","","32",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-17","2011","02","17","","-13.5","","-19.1","","-16.3","","34.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-18","2011","02","18","","-16.6","","-24.2","","-20.4","","38.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-19","2011","02","19","","-14.1","","-26.2","","-20.2","","38.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-20","2011","02","20","","-9.2","","-23.0","","-16.1","","34.1","","0.0","","","M","","M","0.0","","","","16","","32",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-21","2011","02","21","","2.1","","-11.7","","-4.8","","22.8","","0.0","","","M","","M","","M","","","27","","65",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-22","2011","02","22","","-3.7","","-14.2","","-9.0","","27.0","","0.0","","","M","","M","","M","","","36","","39",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-23","2011","02","23","","-14.2","","-20.2","","-17.2","","35.2","","0.0","","","M","","M","","M","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-24","2011","02","24","","-18.9","","-29.1","","-24.0","","42.0","","0.0","","","M","","M","","M","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-25","2011","02","25","","-12.9","","-32.2","","-22.6","","40.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-26","2011","02","26","","-3.9","","-17.3","","-10.6","","28.6","","0.0","","","M","","M","0.0","","","","26","","78",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-27","2011","02","27","","-0.1","","-10.1","","-5.1","","23.1","","0.0","","","M","","M","0.0","","","","26","","67",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-02-28","2011","02","28","","-6.4","","-23.0","","-14.7","","32.7","","0.0","","","M","","M","0.0","","","","34","","35",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-03-01","2011","03","01","","-19.5","","-25.7","","-22.6","","40.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-03-02","2011","03","02","","-11.6","","-21.0","","-16.3","","34.3","","0.0","","","M","","M","","M","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-03-03","2011","03","03","","-9.9","","-21.3","","-15.6","","33.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-03-04","2011","03","04","","-10.9","","-21.2","","-16.1","","34.1","","0.0","","","M","","M","","M","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-03-05","2011","03","05","","-13.5","","-18.9","","-16.2","","34.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-03-06","2011","03","06","","-11.8","","-23.2","","-17.5","","35.5","","0.0","","","M","","M","","M","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-03-07","2011","03","07","","-9.8","","-25.4","","-17.6","","35.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-03-08","2011","03","08","","-7.0","","-24.3","","-15.7","","33.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-03-09","2011","03","09","","6.4","","-15.6","","-4.6","","22.6","","0.0","","","M","","M","0.0","","","","23","","54",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-03-10","2011","03","10","","10.0","","-5.2","","2.4","","15.6","","0.0","","","M","","M","0.0","","","","26","","57",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-03-11","2011","03","11","","-3.9","","-11.3","","-7.6","","25.6","","0.0","","","M","","M","0.0","","","","36","","39",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-03-12","2011","03","12","","8.7","","-11.2","","-1.3","","19.3","","0.0","","","M","","M","0.0","","","","23","","37",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-03-13","2011","03","13","","8.7","","-1.0","","3.9","","14.1","","0.0","","","M","","M","0.0","","","","24","","48",""
"-112.77","49.70","LETHBRIDGE CDA","3033890","2011-03-14","2011","03","14","","9.6","","2.0","","5.8","","12.2","","0.0","","","M","","M","0.0","","","","24","","83",""
